  PERMNO        date             ba        vwretd        ewretd        sprtrn
   19561    19810930       0.048913     -0.063772     -0.090061     -0.053832
   19561    19811030       0.077720      0.060162      0.069728      0.049148
   19561    19811130      -0.106731      0.045849      0.021667      0.036590
   19561    19811231      -0.016393     -0.028096     -0.019694     -0.030075
   19561    19820129      -0.044444     -0.026209     -0.017347     -0.017544
   19561    19820226      -0.111628     -0.051126     -0.047987     -0.060548
   19561    19820331      -0.066667     -0.010099     -0.012064     -0.010167
   19561    19820430       0.092857      0.043267      0.052242      0.040014
   19561    19820528      -0.092810     -0.028212     -0.022490     -0.039162
   19561    19820630      -0.088235     -0.023912     -0.036699     -0.020290
   19561    19820730       0.032258     -0.020526     -0.014776     -0.022991
   19561    19820831       0.506250      0.119013      0.063285      0.115977
   19561    19820930      -0.126316      0.016761      0.033164      0.007614
   19561    19821029       0.319277      0.118636      0.128447      0.110364
   19561    19821130       0.195434      0.051935      0.092037      0.036123
   19561    19821231       0.046332      0.014516      0.023447      0.015158
   19561    19830131       0.077491      0.041850      0.117062      0.033134
   19561    19830228       0.013014      0.030218      0.047266      0.018995
   19561    19830331       0.092150      0.034673      0.050515      0.033095
   19561    19830429      -0.043750      0.074188      0.080687      0.074922
   19561    19830531       0.054902      0.013224      0.091740     -0.012346
   19561    19830630       0.143750      0.037837      0.046341      0.035224
   19561    19830729      -0.090164     -0.031567     -0.017556     -0.033014
   19561    19830831      -0.081682      0.003464     -0.032920      0.011319
   19561    19830930       0.042904      0.016059      0.000051      0.010158
   19561    19831031      -0.034810     -0.028049     -0.059273     -0.015174
   19561    19831130       0.205902      0.029556      0.031713      0.017426
   19561    19831230      -0.041096     -0.010464     -0.019672     -0.008834
   19561    19840131       0.017143     -0.013023      0.005424     -0.009216
   19561    19840229      -0.023034     -0.039073     -0.050767     -0.038859
   19561    19840330      -0.115942      0.013389      0.007449      0.013498
   19561    19840430      -0.016393      0.002534     -0.020524      0.005466
   19561    19840531       0.049333     -0.052342     -0.051570     -0.059356
