    DATE        PS_LEVEL        PS_INNOV          PS_VWF
19861231      0.01129851     0.035771164    -0.007128528
19870130     -0.02906233    -0.006778205    -0.071923913
19870227     0.005439631     0.028130908    -0.039676967
19870331    -0.023641863     0.018911209    -0.017159166
19870430    -0.126322684    -0.106935433    -0.040456597
19870529     0.005895904     0.033611018     0.009620542
19870630     0.008100339     0.058253232     0.026789956
19870731     0.016391733    -0.027626304      0.00516505
19870831    -0.002212639     0.016520915     -0.05615426
19870930     -0.03012279    -0.038027684     0.003431919
19871030    -0.461006635    -0.383023482     0.054424561
19871130    -0.024268475    -0.068970249     -0.01721556
19871231    -0.102085889    -0.025582745     0.002967834
19880129     -0.11093769    -0.071916257     0.039264651
19880229    -0.033424961      0.06372126     0.001911354
19880331    -0.030570298     0.026799748    -0.021414367
19880429     0.008880095      0.03113123    -0.022980858
19880531     -0.06853687     0.000785777    -0.003327399
19880630     0.007002899     0.021238681    -0.011734686
19880729     0.016833663     0.034195057    -0.011273042
19880831    -0.025814135     0.028445984     0.034133703
19880930    -0.022907456     0.004138949     0.014132912
19881031    -0.043188866     0.005398826     0.026272374
19881130    -0.065589906    -0.005646352    -0.001137177
19881230    -0.024276894     0.003486379     -0.04311985
19890131     0.018213379     0.076112644     -0.00660431
19890228    -0.002578876      0.01443757    -0.002058662
19890331     0.000236276     0.009725876    -0.008974399
19890428    -0.021552196    -0.000711579    -0.020081153
19890531      0.04316472     0.050640968    -0.040038845
19890630    -0.003383504     0.003297056     0.076020676
19890731     0.017373333     0.026874722     0.028978451
19890831    -0.084886662    -0.051051687     0.008098384
19890929     0.027785413     0.018577814    -0.046276988
19891031    -0.157862003    -0.111359277     0.027598845
19891130    -0.009830392     0.019190263     -0.02083493
19891229    -0.021630182     0.009184906     0.020654807
19900131    -0.023188345    -0.002613585    -0.034893922
19900228    -0.004558274     0.028206776    -0.031998954
19900330    -0.022161198     0.037174998    -0.025848628
19900430     0.010490197      0.01165646     0.058704167
19900531      0.01134741     0.012546884    -0.012892997
19900629     0.002401438    -0.000044624     0.024443378
19900731    -0.031723661    -0.012237347      0.05294775
19900831     0.029455321     0.014278262     0.044605137
19900928    -0.015681689     0.064278068     0.022939824
19901031     0.053710324     0.050762361    -0.015683612
19901130     0.030115084     0.017786857     -0.01827286
19901231    -0.055580246    -0.030272749     -0.03447381
19910131     0.038957556     0.023717376    -0.096673359
19910228    -0.021173361    -0.035494776     -0.01989167
19910328    -0.026115824    -0.021650432    -0.006279076
19910430     0.006464405      0.04640114     0.024059201
19910531    -0.005935594     0.002118478    -0.005516399
19910628     0.041703164     0.052376915     0.023252478
19910731    -0.001286557     0.005764726     0.018165322
19910830    -0.016937894    -0.017719116    -0.015662096
19910930    -0.014476074     0.019088614     0.011492722
19911031    -0.019230826     0.022478161     0.018552728
19911129     0.027519208    -0.000614704     0.044082383
19911231    -0.053449023    -0.071559522    -0.052104791
19920131    -0.061425156     -0.03478114    -0.074142283
19920228    -0.039232388     0.011899985    -0.045632919
19920331    -0.038446768     0.018766075    -0.000491216
19920430     0.034613378     0.048359667    -0.007698836
19920529     0.001332154      0.05352922    -0.002616218
19920630      0.06708421     0.010607653     0.011057305
19920731    -0.037047206      -0.0478201     0.024082552
19920831    -0.004850838     0.007814807     0.044640916
19920930     0.012378035     0.034164916      -0.0168486
19921030    -0.059856137     -0.05291018    -0.017768962
19921130     0.001799606     0.036327176     -0.05746596
19921231     0.008335823     0.023445192    -0.030820043
19930129     0.004793756     0.036618291    -0.001166122
19930226    -0.025149349     0.000158245     0.065174754
19930331    -0.037351563    -0.007431038    -0.039362454
19930430     0.003013333     0.033675523    -0.017960867
19930528    -0.014525489     0.015921273     0.043351103
19930630    -0.018419991     0.012597327    -0.032353374
19930730    -0.018657929     0.008184378     -0.01366005
19930831     0.040883184     0.025337156     0.017758259
19930930     0.025076743     0.034396316    -0.076668573
19931029     0.004300488     0.014686196     0.048713089
19931130     0.015118459      0.02963995     0.050444069
19931231     0.049952542     0.032133308     0.013002291
19940131     0.038801443     0.071465327     0.000766289
19940228      -0.0510396    -0.036721975      0.01370393
