  PERMNO        date            ge         vwretd        ewretd        sprtrn
   12060    19970630       0.076605      0.044095      0.043145      0.043453
   12060    19970731       0.082846      0.076514      0.048824      0.078123
   12060    19970829      -0.107843     -0.036290      0.027605     -0.057446
   12060    19970930       0.092068      0.058499      0.081737      0.053154
   12060    19971031      -0.050505     -0.034436     -0.026145     -0.034478
   12060    19971128       0.143133      0.030404     -0.022063      0.044587
   12060    19971231      -0.002707      0.017817     -0.023875      0.015732
   12060    19980130       0.056218      0.004502      0.015367      0.010150
   12060    19980227       0.003226      0.073303      0.060451      0.070449
   12060    19980331       0.112379      0.051301      0.046884      0.049946
   12060    19980430      -0.011603      0.010903      0.023243      0.009076
   12060    19980529      -0.021277     -0.025748     -0.042571     -0.018826
   12060    19980630       0.089955      0.031939     -0.029150      0.039438
   12060    19980731      -0.012517     -0.023368     -0.050546     -0.011615
   12060    19980831      -0.105521     -0.157840     -0.196383     -0.145797
   12060    19980930      -0.001719      0.063828      0.043248      0.062396
   12060    19981030       0.099764      0.074393      0.037827      0.080294
   12060    19981130       0.032857      0.062024      0.075912      0.059126
   12060    19981231       0.132503      0.063051      0.018861      0.056375
   12060    19990129       0.028186      0.038456      0.064848      0.041009
   12060    19990226      -0.043504     -0.038085     -0.042172     -0.032283
   12060    19990331       0.106293      0.037932     -0.001373      0.038794
   12060    19990430      -0.047458      0.049105      0.083900      0.037944
   12060    19990528      -0.034994     -0.020709      0.025134     -0.024970
   12060    19990630       0.111248      0.050820      0.038391      0.054438
   12060    19990730      -0.032301     -0.030716      0.007271     -0.032046
   12060    19990831       0.030390     -0.009987     -0.030607     -0.006254
   12060    19990930       0.058765     -0.022846     -0.014250     -0.028552
   12060    19991029       0.142857      0.062147     -0.001351      0.062539
   12060    19991130      -0.039668      0.036823      0.091409      0.019062
   12060    19991231       0.192392      0.083758      0.084830      0.057844
   12060    20000131      -0.136511     -0.039612      0.050610     -0.050904
   12060    20000229      -0.009355      0.031820      0.120436     -0.020108
   12060    20000331       0.178735      0.053526     -0.000429      0.096720
   12060    20000428       0.010442     -0.059529     -0.088504     -0.030796
   12060    20000531       0.005167     -0.038967     -0.057324     -0.021915
   12060    20000630       0.005931      0.051591      0.079228      0.023934
   12060    20000731      -0.026903     -0.017072     -0.019354     -0.016341
   12060    20000831       0.140948      0.075910      0.059257      0.060699
   12060    20000929      -0.014711     -0.051054     -0.040102     -0.053483
   12060    20001031      -0.049837     -0.024597     -0.066807     -0.004949
   12060    20001130      -0.095781     -0.102492     -0.118559     -0.080069
   12060    20001229      -0.029559      0.020402     -0.007035      0.004053
   12060    20010131      -0.040834      0.039499      0.225012      0.034637
   12060    20010228       0.011309     -0.099263     -0.074508     -0.092291
   12060    20010330      -0.096344     -0.070260     -0.072716     -0.064205
   12060    20010430       0.159341      0.083832      0.076441      0.076814
   12060    20010531       0.009685      0.010576      0.062201      0.005090
   12060    20010629      -0.005102     -0.017464      0.007720     -0.025004
   12060    20010731      -0.104410     -0.018297     -0.028407     -0.010772
   12060    20010831      -0.057931     -0.058980     -0.035009     -0.064108
   12060    20010928      -0.088336     -0.091526     -0.127801     -0.081723
   12060    20011031      -0.021237      0.027835      0.078103      0.018099
   12060    20011130       0.057402      0.078774      0.080810      0.075176
   12060    20011231       0.045714      0.017859      0.057742      0.007574
   12060    20020131      -0.073104     -0.015984      0.018178     -0.015574
   12060    20020228       0.041184     -0.021699     -0.033060     -0.020766
   12060    20020328      -0.027273      0.044685      0.074666      0.036739
   12060    20020430      -0.157543     -0.049632     -0.003169     -0.061418
   12060    20020531      -0.012995     -0.010524     -0.015519     -0.009081
   12060    20020628      -0.061336     -0.070251     -0.067318     -0.072465
   12060    20020731       0.108434     -0.081135     -0.107499     -0.078995
   12060    20020830      -0.063665      0.007964      0.006337      0.004881
   12060    20020930      -0.176451     -0.099965     -0.084490     -0.110013
   12060    20021031       0.024341      0.074925      0.042773      0.086436
   12060    20021129       0.074059      0.061271      0.117775      0.057070
   12060    20021231      -0.095133     -0.053316     -0.040159     -0.060333
   12060    20030131      -0.049692     -0.023392      0.006068     -0.027415
   12060    20030228       0.047537     -0.015390     -0.021448     -0.017004
   12060    20030331       0.060291      0.010325      0.009434      0.008358
   12060    20030430       0.154902      0.082762      0.098222      0.081044
   12060    20030530      -0.025467      0.063471      0.133177      0.050899
   12060    20030630       0.005923      0.016335      0.049741      0.011322
   12060    20030731      -0.008368      0.023112      0.061927      0.016224
   12060    20030829       0.039733      0.024966      0.047429      0.017873
   12060    20030930       0.014542     -0.009112      0.025239     -0.011944
   12060    20031031      -0.026837      0.060318      0.080930      0.054962
   12060    20031128      -0.011720      0.016593      0.038147      0.007129
   12060    20031231       0.087548      0.045528      0.038907      0.050765
   12060    20040130       0.085539      0.023049      0.065763      0.017276
   12060    20040227      -0.027059      0.015459      0.013720      0.012209
   12060    20040331      -0.061501     -0.010694      0.006293     -0.016359
   12060    20040430      -0.018676     -0.024231     -0.043590     -0.016791
   12060    20040528       0.039065      0.014125      0.002592      0.012083
   12060    20040630       0.047558      0.021582      0.022729      0.017989
   12060    20040730       0.026235     -0.037667     -0.051082     -0.034291
   12060    20040831      -0.013835      0.002713     -0.004725      0.002287
   12060    20040930       0.030192      0.020546      0.041594      0.009364
   12060    20041029       0.016081      0.017805      0.020837      0.014014
   12060    20041130       0.036342      0.048209      0.079929      0.038595
   12060    20041231       0.038462      0.035179      0.052920      0.032458
   12060    20050131      -0.010137     -0.026556     -0.029278     -0.025290
   12060    20050228      -0.019651      0.022672      0.016636      0.018903
   12060    20050331       0.024432     -0.016935     -0.031835     -0.019118
   12060    20050429       0.003882     -0.025186     -0.046509     -0.020109
   12060    20050531       0.007735      0.037955      0.043808      0.029952
   12060    20050630      -0.044134      0.011534      0.032153     -0.000143
   12060    20050729      -0.004329      0.043327      0.058745      0.035968
   12060    20050831      -0.025797     -0.005946     -0.007217     -0.011222
   12060    20050930       0.008331      0.010565      0.010530      0.006949
   12060    20051031       0.007128     -0.020801     -0.033876     -0.017741
   12060    20051130       0.053377      0.040385      0.034319      0.035186
   12060    20051230      -0.011758      0.003455      0.013484     -0.000952
   12060    20060131      -0.065621      0.040033      0.076354      0.025467
   12060    20060228       0.011298     -0.001640      0.004836      0.000453
   12060    20060331       0.058108      0.019055      0.036978      0.011065
   12060    20060428      -0.005463      0.012962      0.009791      0.012187
   12060    20060531      -0.009540     -0.031046     -0.044331     -0.030917
   12060    20060630      -0.030648     -0.000406     -0.008479      0.000087
   12060    20060731      -0.008192     -0.001902     -0.022698      0.005086
   12060    20060831       0.041909      0.025062      0.025011      0.021274
   12060    20060929       0.043746      0.019424      0.009006      0.024566
   12060    20061031      -0.005382      0.037125      0.046211      0.031508
   12060    20061130       0.004842      0.023705      0.031168      0.016467
   12060    20061229       0.062642      0.010833      0.014800      0.012616
   12060    20070131      -0.031174      0.019428      0.022283      0.014059
   12060    20070228      -0.023856     -0.013957      0.002110     -0.021846
   12060    20070330       0.012890      0.012949      0.006545      0.009980
   12060    20070430       0.042421      0.039821      0.027044      0.043291
   12060    20070531       0.019533      0.038932      0.023123      0.032549
   12060    20070629       0.026078     -0.014756     -0.007906     -0.017816
   12060    20070731       0.012539     -0.031756     -0.043537     -0.031982
   12060    20070831       0.002838      0.011660     -0.011737      0.012864
   12060    20070928       0.072292      0.040860      0.025363      0.035794
   12060    20071031      -0.005797      0.025835      0.017406      0.014822
   12060    20071130      -0.069728     -0.049222     -0.076608     -0.044043
   12060    20071231      -0.023766     -0.004419     -0.010989     -0.008628
